기간	자치구	인구	119안전센터	119안전센터 1개소당 담당인구
2018	합계	9,765,623	117	83,467
2018	종로구	153,065	6	25,511
2018	중구	125,725	5	25,145
2018	용산구	228,999	5	45,800
2018	성동구	308,221	4	77,055
2018	광진구	355,559	3	118,520
2018	동대문구	348,052	5	69,610
2018	중랑구	403,209	4	100,802
2018	성북구	435,868	4	108,967
2018	강북구	319,164	4	79,791
2018	도봉구	339,413	4	84,853
2018	노원구	543,752	5	108,750
2018	은평구	483,197	4	120,799
2018	서대문구	310,313	4	77,578
2018	마포구	375,077	6	62,513
2018	양천구	464,185	5	92,837
2018	강서구	596,949	5	119,390
2018	구로구	404,497	6	67,416
2018	금천구	233,917	2	116,959
2018	영등포구	367,778	5	73,556
2018	동작구	396,203	4	99,051
2018	관악구	501,957	4	125,489
2018	서초구	433,951	6	72,325
2018	강남구	542,364	6	90,394
2018	송파구	666,635	6	111,106
2018	강동구	427,573	5	85,515
